age,income,hours_study,experience_years,outcome
63,48697,6.04,16,1
20,32232,6.83,16,1
46,39571,5.85,5,0
52,53459,4.71,15,1
56,57914,1.83,8,0
35,49189,4.88,0,1
37,32165,2.84,8,0
60,84136,3.96,17,1
40,63524,2.46,6,0
51,64080,4.29,11,1
50,52860,4.73,4,1
27,50139,7.15,7,1
50,47653,5.55,18,1
64,56414,4.72,12,1
50,42001,6.07,5,1
43,65161,4.52,4,0
37,66942,0.0,6,0
32,34501,3.53,3,0
54,56499,5.73,16,1
50,41394,4.73,4,1
34,56730,2.26,9,0
22,61345,7.46,9,1
21,25269,2.71,16,0
20,26183,5.87,2,0
38,57233,4.22,7,1
57,73136,3.11,16,0
20,54232,5.05,19,0
38,40789,7.03,6,1
25,44453,5.36,1,1
59,66582,4.84,5,1
53,53322,4.0,19,1
46,54254,6.78,15,1
56,73573,8.13,9,1
51,58349,3.16,16,1
39,47979,2.29,8,0
48,37553,3.95,10,1
45,74698,4.64,15,0
52,24385,4.36,13,0
51,48630,3.78,11,1
30,47737,2.26,2,0
58,50043,5.46,10,1
21,71044,3.53,14,1
60,62375,1.32,13,1
23,53239,2.2,16,0
18,33052,6.7,3,1
29,57297,4.41,2,0
52,40647,5.34,3,1
28,72427,1.79,6,0
40,51614,4.45,18,0
31,52137,7.08,14,1
36,47660,5.82,8,0
54,53260,5.3,4,1
33,49408,4.89,12,1
61,75419,6.44,16,1
45,53637,6.35,0,0
62,37468,1.07,19,0
48,54713,5.7,11,1
24,44335,6.65,15,1
63,39300,6.33,4,1
44,54357,3.7,11,0
34,66351,4.76,17,1
24,69794,4.74,12,1
32,14797,2.52,18,0
57,61392,6.07,17,1
29,46157,3.25,4,0
25,71041,7.39,1,0
19,33258,5.21,12,1
61,50883,4.34,8,1
55,64461,4.59,1,0
43,45556,4.73,17,1
38,47286,7.34,2,1
30,34158,6.49,11,1
36,50897,4.36,15,0
35,39599,5.25,8,1
19,24184,4.23,11,0
62,52330,1.75,13,0
59,49068,6.58,19,1
45,47470,3.92,3,0
40,51271,5.53,19,1
21,50319,3.24,19,0
21,52436,4.72,6,0
29,57312,6.39,14,1
39,56257,3.55,17,1
43,51868,6.24,6,1
57,40973,6.91,2,1
59,48584,4.42,7,0
52,59565,0.03,7,0
21,51377,4.77,0,0
29,67475,5.94,10,1
21,43811,4.56,6,1
48,43702,7.53,12,0
24,60499,5.15,1,0
27,76340,3.13,1,0
41,45606,2.7,15,0
32,34139,2.69,0,0
56,46827,8.75,6,1
37,53145,4.72,7,0
24,55551,6.2,6,0
30,52217,9.23,14,1
45,27540,4.2,8,0
56,43158,4.69,11,1
35,33464,4.56,18,0
64,48363,3.43,16,1
28,49364,4.21,5,0
53,41357,6.68,8,1
53,37721,3.7,6,0
19,32525,4.05,15,0
63,63967,5.05,2,0
34,59762,5.07,4,1
23,21238,5.3,16,1
58,56599,5.31,16,1
63,36044,4.15,10,0
40,64710,3.25,9,0
64,32089,4.41,0,1
33,57475,8.0,9,1
58,61683,5.84,15,1
43,50839,2.9,5,0
63,59582,6.42,19,1
18,47226,9.66,12,1
53,64356,8.08,10,1
47,48772,3.41,15,0
19,52643,7.46,17,1
37,50955,5.94,8,0
22,50420,7.18,19,1
48,47458,5.1,7,0
25,64488,4.02,9,1
47,84808,5.37,1,0
56,71250,6.96,4,0
19,57354,5.08,9,0
30,31624,2.63,19,0
21,34200,4.21,4,0
62,66199,5.52,4,0
25,33916,4.24,4,0
56,20632,5.72,0,0
42,53965,0.87,15,0
24,61714,6.23,16,1
31,53106,6.34,10,1
46,60851,2.72,15,0
62,49642,6.91,12,1
38,52002,5.14,8,0
54,63039,4.04,4,0
50,51506,5.04,16,0
58,27734,5.64,15,1
42,34273,4.23,17,1
63,55302,0.0,13,0
31,59670,4.28,15,1
26,55040,2.92,6,0
32,63430,3.24,2,0
24,44284,4.87,12,0
19,66635,5.88,6,0
48,35572,5.57,18,1
24,29559,6.48,15,0
58,42458,5.1,4,1
28,70598,5.24,7,0
30,48372,6.12,14,1
30,61787,6.47,8,0
43,32727,7.76,17,1
60,63473,6.34,19,1
25,43423,7.63,3,1
31,36599,5.14,12,0
62,62684,4.61,11,0
19,47167,2.11,1,0
59,59824,1.39,5,0
32,64031,2.59,5,1
41,50761,5.13,2,0
51,59345,3.11,16,0
21,45252,8.53,19,1
35,47503,3.84,12,0
42,40902,4.19,15,1
64,45776,5.08,1,0
41,54849,4.84,15,0
23,40710,6.9,7,0
51,65177,3.67,6,0
55,24282,8.92,5,1
20,60122,3.96,11,0
36,37827,2.67,13,0
64,42163,5.54,14,1
63,39392,3.71,2,0
53,57607,4.8,8,1
36,74694,2.51,17,1
45,59312,4.16,10,0
64,23906,3.55,2,0
27,59734,5.47,14,1
35,55640,7.93,4,1
21,31541,7.9,7,1
29,58177,2.98,9,0
44,63410,2.57,13,0
46,62133,7.07,2,1
29,59393,4.75,17,1
28,45090,2.63,6,0
21,73027,3.56,5,0
63,49364,2.64,3,0
41,41638,4.91,11,1
43,35752,6.09,1,1
45,53841,3.0,5,0
64,57293,7.26,5,1
21,62194,4.78,14,1
53,66767,5.06,19,1
32,50007,6.2,12,1
39,31899,3.9,10,0
